ID, Count
1, 140
2, 29
3, 0
4, 2
5, 2
6, 6
7, 12
8, 166
9, 65
10, 62
11, 217
12, 1565
13, 1622
14, 3
15, 3
16, 22
17, 26
18, 73
19, 293
20, 0
21, 33
22, 2231
23, 124
24, 23
25, 36
26, 26
27, 29
28, 757
29, 0
30, 0
31, 12
32, 524
33, 83
34, 82
35, 79
36, 92
37, 287
38, 7
39, 5
40, 4
41, 1799
42, 72
43, 219
44, 51
45, 55
46, 54
47, 88
48, 3
49, 38
50, 2602
51, 2371
52, 184
53, 52
54, 99
55, 179
56, 35
57, 2
58, 7
59, 1961
60, 2962
61, 1731
62, 1063
63, 163
64, 165
65, 113
66, 47
67, 9
68, 13
69, 2141
70, 1332
71, 795
72, 1523
73, 711
74, 47
75, 43
76, 7
77, 11
78, 94
79, 143
80, 220
81, 1018
82, 889
83, 687
84, 438
85, 515
86, 268
87, 61
88, 77
89, 105
90, 704
91, 71
92, 708
93, 184
94, 47
95, 15
96, 23
97, 98
98, 66
99, 95
100, 237
101, 311
102, 187
103, 51
104, 66
105, 12
106, 14
107, 50
108, 28
109, 50
110, 528
111, 400
112, 238
113, 19
114, 14
115, 86
116, 54
117, 10
118, 323
119, 473
120, 393
121, 161
122, 254
123, 14
124, 264
125, 13
126, 58
127, 12
128, 384
129, 350
130, 257
131, 176
132, 18
133, 76
134, 13
135, 20
136, 43
137, 440
138, 295
139, 12
140, 16
141, 159
142, 308
143, 17
144, 16
145, 106
146, 52
147, 354
148, 84
149, 16
150, 16
151, 54
152, 20
153, 18
154, 17
155, 99
156, 540
157, 288
158, 16
159, 16
160, 16
161, 24
162, 18
163, 18
164, 65
165, 88
166, 19
167, 11
168, 85
169, 186
170, 101
171, 120
172, 147
173, 15
174, 51
175, 15
176, 14
177, 11
178, 10
179, 163
180, 92
181, 331
182, 15
183, 15
184, 16
185, 152
186, 14
187, 11
188, 11
189, 10
190, 254
191, 13
192, 15
193, 15
194, 19
195, 15
196, 14
197, 11
198, 12
199, 204
200, 32
201, 13
202, 15
203, 15
204, 17
205, 17
206, 15
207, 12
208, 12
209, 17
210, 81
211, 13
212, 27
213, 77
214, 16
215, 16
216, 15
217, 12
218, 11
219, 12
220, 179
221, 86
222, 72
223, 16
224, 16
225, 16
226, 15
227, 7
228, 41
229, 39
230, 45
231, 16
232, 18
233, 18
234, 63
235, 76
236, 84
237, 114
238, 35
239, 15
240, 13
241, 14
242, 37
243, 197
244, 193
245, 17
246, 185
247, 239
248, 25
249, 163
250, 404
251, 240
252, 110
253, 125
254, 18
255, 18
256, 18
257, 11
258, 10
259, 152
260, 105
261, 19
262, 47
263, 15
264, 19
265, 15
266, 23
267, 60
268, 11
269, 166
270, 220
271, 13
272, 59
273, 158
274, 14
275, 14
276, 228
277, 11
278, 10
279, 11
280, 225
281, 14
282, 11
283, 11
284, 13
285, 10
286, 15
287, 9
288, 765
289, 343
290, 9
291, 14
292, 34
293, 67
294, 38
295, 41
296, 78
297, 760
298, 3454
299, 9
300, 11
301, 11
302, 102
303, 32
304, 32
305, 7
306, 85
307, 1635
308, 54
309, 44
310, 16
311, 11
312, 44
313, 14
314, 7
315, 223
316, 7
317, 81
318, 6
319, 8
320, 13
321, 254
322, 116
323, 63
324, 13
325, 28
326, 29
327, 25
328, 6
329, 1427
330, 228
331, 236
332, 12
333, 59
334, 103
335, 3
336, 14
337, 9
338, 23
339, 29
340, 20
341, 14
342, 11
343, 72
344, 10
345, 6
346, 4
347, 15
348, 5
349, 5
350, 16
351, 11
352, 9
353, 46
354, 4
355, 3
356, 3
357, 4
358, 4
359, 5
360, 8
361, 10
362, 9
363, 81
364, 48
365, 51
366, 2
367, 14
368, 11
369, 3
370, 8
371, 73
372, 3
373, 488
374, 280
375, 68
376, 8
377, 14
378, 37
379, 3
380, 228
381, 196
382, 64
383, 25
384, 59
385, 4
386, 52
387, 47
388, 17
389, 142
390, 195
391, 17
392, 79
393, 21
394, 77
395, 13
396, 12
397, 98
398, 31
399, 29
400, 53
401, 3
402, 136
403, 34
404, 64
405, 277
406, 63
407, 34
408, 29
409, 10
410, 9
411, 7
412, 388
413, 158
414, 283
415, 350
416, 8
417, 6
418, 13
419, 12
420, 65
421, 64
422, 274
423, 199
424, 149
425, 6
426, 10
427, 8
428, 8
429, 148
430, 12
431, 9
432, 147
433, 872
434, 5
435, 6
436, 18
437, 8
438, 8
439, 8
440, 83
441, 80
442, 827
443, 5
444, 5
445, 6
446, 27
447, 16
448, 8
449, 9
450, 237
451, 249
452, 4
453, 4
454, 5
455, 7
456, 7
457, 7
458, 14
459, 9
460, 20
461, 4
462, 4
463, 4
464, 6
465, 6
466, 8
467, 8
468, 9
469, 12
470, 0
471, 0
472, 0
473, 1
474, 5
475, 6
476, 7
477, 7
478, 41
479, 0
480, 0
481, 0
482, 1
483, 1
484, 1
485, 5
486, 6
487, 10
488, 168
489, 357
490, 245
491, 14
492, 18
493, 18
494, 18
495, 25
496, 18
497, 9
498, 542
499, 246
500, 14
501, 26
502, 17
503, 16
504, 21
505, 18
506, 2
507, 470
508, 384
509, 241
510, 13
511, 22
512, 43
513, 16
514, 17
515, 1
516, 4
517, 207
518, 74
519, 7
520, 15
521, 17
522, 34
523, 16
524, 1
525, 1
526, 30
527, 234
528, 25
529, 12
530, 8
531, 14
532, 15
533, 1
534, 1
535, 5
536, 125
537, 72
538, 10
539, 84
540, 17
541, 11
542, 1
543, 2
544, 8
545, 101
546, 150
547, 74
548, 9
549, 42
550, 7
551, 0
552, 1
553, 10
554, 80
555, 68
556, 7
557, 40
558, 9
559, 7
560, 0
561, 0
562, 11
563, 77
564, 68
565, 45
566, 56
567, 10
568, 9
569, 9
570, 7
571, 7
572, 11
573, 12
574, 13
575, 15
576, 170
577, 147
578, 70
579, 9
580, 7
581, 7
582, 11
583, 22
584, 41
585, 41
586, 40
587, 10
588, 10
589, 9
590, 6
591, 6
592, 19
593, 18
594, 38
595, 14
596, 16
597, 28
598, 11
599, 6
600, 6
601, 6
602, 123
603, 12
604, 13
605, 22
606, 16
607, 7
608, 43
609, 15
610, 29
611, 10
612, 11
613, 9
614, 17
615, 4
616, 4
617, 87
618, 181
619, 128
620, 3
621, 8
622, 9
623, 2
624, 202
625, 9
626, 1
627, 30
628, 3
629, 3
630, 7
631, 9
632, 1
633, 320
634, 1
635, 3
636, 3
637, 7
638, 0
639, 1
640, 11
641, 0
642, 4
643, 1
644, 7
645, 0
646, 6
647, 0
648, 0
649, 5
650, 18
651, 9
652, 11
653, 60
654, 291
655, 312
656, 8
657, 4
658, 12
659, 5
660, 12
661, 86
662, 10
663, 162
664, 111
665, 8
666, 8
667, 6
